datetime,MA 5/20 (QQQ),TopkDropout,SoftTopk,LightGBM rotation,QQQ buy and hold
2019-01-02,1.0,1.0,1.0,1.0,1.0
2019-01-03,1.0,0.9850463441459694,0.9689511986425486,0.96889521504016,0.9673295617103577
2019-01-04,1.0,1.008006035750749,1.0082566212450061,1.0082986551745772,1.0087163426502386
2019-01-07,1.0,1.0094396385383486,1.0196492490662772,1.0197324391517844,1.0207256664685433
2019-01-08,1.0,1.0083605203338772,1.0284059225229112,1.0285229748745006,1.0299586217867518
2019-01-09,1.0,1.0111246309221515,1.0363579903360791,1.0365143454045884,1.038352274376217
2019-01-10,1.0090499560210358,1.020275264363783,1.0391743930838406,1.039342001965266,1.0413222813751593
2019-01-11,1.0055380731917045,1.013592651955083,1.0355636467171838,1.0357151802119604,1.0375128796830428
2019-01-14,0.997085703461699,1.0122671428795178,1.0268781264197955,1.0269861764571273,1.0283445179884658
2019-01-15,1.0155976111487057,1.0157119197622007,1.0459033242895996,1.0461039525212015,1.0484245909148713
2019-01-16,1.015419046993053,1.0129673062013604,1.045720485278567,1.0459195442150153,1.0482309313823692
2019-01-17,1.0230380870546392,1.008922302423897,1.0535459010944712,1.0537879446080682,1.0564953358114277
2019-01-18,1.0326809147643694,1.0106976833878525,1.0634457584354413,1.063746368337054,1.0669549898611985
2019-01-22,1.0129785490976377,1.0028215053718113,1.0432255635734984,1.0433991722988274,1.0455836039141595
2019-01-23,1.0142284981872063,0.9982399514628754,1.0445069621329561,1.0446900304421314,1.0469394734986457
2019-01-24,1.0204785161134144,1.0003898403271494,1.050924283584059,1.0511446025548459,1.05371887625539
2019-01-25,1.032085640361446,1.0031367313195994,1.062840225699847,1.0631316114506117,1.0663092007390176
2019-01-28,1.0199428236464565,0.9898900689167688,1.0503788078604919,1.050591377636287,1.053137779083437
2019-01-29,1.0107761972938405,0.9795573017651548,1.0409673168266858,1.0411247406567088,1.0431946468411988
2019-01-30,1.0352403948794717,0.9891605533403909,1.0660826301274766,1.0663896165915447,1.0697312568842656
2019-01-31,1.050002364471651,0.9964510369073245,1.081226971510572,1.0816347244269755,1.0857436721743743
2019-02-01,1.0457761341935874,0.9908289897600282,1.0768924227206227,1.0772701756501932,1.0811594298003229
2019-02-04,1.0581570970001948,1.0014093309477534,1.0895856890555684,1.0900563497385873,1.0945891683916593
2019-02-05,1.0670856680873146,1.0017478737375123,1.098733948875259,1.0992771402428274,1.104274040691851
2019-02-06,1.0640499866150976,0.9977365526164638,1.0956243945427142,1.096142105238929,1.100981204639211
2019-02-07,1.0504189838927995,0.9885073572865567,1.081659993006665,1.082064979208499,1.086195487140046
2019-02-08,1.0523832804311009,0.9977047019131806,1.083680870686595,1.0840935643752798,1.0883261561069222
2019-02-11,1.0514308777168722,1.0001871683435193,1.0827070562977612,1.0831099908764652,1.087293047731721
2019-02-12,1.066252338418895,1.0062948151316156,1.0978938463520043,1.098416536881047,1.103370027424711
2019-02-13,1.0669665950415055,1.0095904107496974,1.0986270313141002,1.0991541701057923,1.1041447506519175
