,mean_gain
volatility_10d,0.22881868546674328
volume_ratio_20d,0.13331402932215433
return_10d,0.0896833443732311
daily_range,0.08196904870516752
ma_gap_20d,0.0806838177387394
return_20d,0.07595577368362746
intraday_return,0.06490801732747811
ma_gap_5d,0.050612653724062415
return_1d,0.04421029990721606
return_5d,0.04221552535078633
