strategy,total_return,annualized_return,annualized_volatility,sharpe_ratio,max_drawdown,mean_daily_turnover,final_value_of_1
MA 5/20 (QQQ),2.193071017017063,0.18084664741112144,0.1442158912205467,1.2251095326440309,-0.20061180202333895,0.04272160370222862,3.193071017017063
TopkDropout,-0.6684451447702355,-0.14620766943062247,0.16339451441850253,-0.8651992286603,-0.7054082338457127,0.9506348715983037,0.3315548552297645
SoftTopk,2.728664584725249,0.20735794194976376,0.22991946738630273,0.9494524153668554,-0.33992224465917364,0.0010534496007527329,3.728664584725249
LightGBM rotation,1.8656603937490326,0.16269623705911784,0.22455957653558636,0.7987309702499253,-0.33960607584158087,0.04051678035035511,2.8656603937490326
QQQ buy and hold,2.96636312671654,0.21808872185744876,0.24211175987160294,0.9387567435758782,-0.35617175133546874,0.0,3.96636312671654
