,mean_gain
ma_gap_20d,9.480494919297254
return_20d,9.02511747007997
volatility_10d,7.405658083454031
volume_ratio_20d,2.864479424046545
return_5d,2.792447323236486
return_10d,2.3083439311976064
return_1d,1.7295823125489826
daily_range,1.5362845112665975
ma_gap_5d,1.3405072402273273
intraday_return,0.7528190996883244
