strategy,total_return,annualized_return,annualized_volatility,sharpe_ratio,max_drawdown,mean_daily_turnover,final_value_of_1
MA 5/20 (BTC),9.1654037602614,0.3923948663466994,0.4310676857253567,0.9929301555032504,-0.617742311919293,0.055045397444435394,10.1654037602614
TopkDropout,4.143521475865273,0.26336597467982026,0.7940074787442839,0.709436423490158,-0.8837832699722199,0.21720614324471693,5.143521475865273
SoftTopk,4.871179179104487,0.28745485419652783,0.7653658887389162,0.7306858349561984,-0.8688746018487435,0.22671943445204457,5.871179179104487
LightGBM rotation,3.294715273635285,0.23125632303293253,0.7998631109767733,0.6801316765004879,-0.8937096015081105,0.23603444001636298,4.294715273635285
EnhancedIndexing,7.640413015474367,0.3604606872167275,0.7498023530093035,0.7896714771274839,-0.8546197897677408,0.14804140581492853,8.640413015474367
BTC buy and hold,21.86870974251383,0.5632394315529365,0.6328246958078528,1.035214205582767,-0.7667058576168633,0.0,22.86870974251383
Crypto basket buy and hold,12.336320877075195,0.44741718410528897,0.7349287897585094,0.8774936518139587,-0.7869924306869507,0.0,13.336320877075195
