datetime,MA 5/20 (BTC),TopkDropout,SoftTopk,LightGBM rotation,EnhancedIndexing,BTC buy and hold,Crypto basket buy and hold
2019-01-01,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2019-01-02,1.016105177061267,1.0649819900247097,1.0650384325786955,1.0370108625734071,1.0604911485078146,1.0169075727462769,1.0688214
2019-01-03,0.9904075822220172,1.013913753280906,1.0142882286972519,0.9779335810476587,1.01157346640589,0.9899297143376771,1.120713
2019-01-04,0.9986854864161827,1.032646319985041,1.0324529269202463,0.9750730863405367,1.028946613207406,0.9986200017004363,1.073769
2019-01-05,0.9931585971254779,1.032998192030603,1.032520815231349,0.9693521860022025,1.032477837500817,0.9928177590777174,1.0899984
2019-01-06,1.0534988855054517,1.0573935532944114,1.0573983589692055,0.9684274392731309,1.0642761075187215,1.056164243696434,1.1094397
2019-01-07,1.0447902861961558,1.0247955194205645,1.025127386096578,0.9398220192617867,1.0330485816951336,1.0470218078606228,1.1765747
2019-01-08,1.0417654522842752,1.0194909318513232,1.020041443657139,0.9734231099164374,1.0301279950098823,1.043846271605312,1.1452645
2019-01-09,1.044319779438292,1.01384581338333,1.0144644505205007,0.9604086392062952,1.0261221483076834,1.0465278711213573,1.1544278
2019-01-10,0.9502130791256717,0.8693671723582819,0.8738522296542878,0.8347596333770319,0.885232041821979,0.9477327202019233,1.1491412
2019-01-11,0.9525955780140272,0.8487652744593721,0.8534954062531315,0.7997388380821135,0.8655506880659226,0.95023395219328,0.99159634
2019-01-12,0.9485425096592078,0.8477515036509583,0.8526763823001912,0.7987502047580236,0.8658056236764287,0.9459789389722263,0.9719031
2019-01-13,0.9476339544846286,0.7907695312126466,0.7966386230931486,0.7507297095830113,0.8107604110530569,0.9184914352785253,0.9769873
2019-01-14,0.9476339544846286,0.8339441412265344,0.8392268996907274,0.794509549139634,0.8644820155083545,0.9576828184469669,0.9208553
2019-01-15,0.9476339544846286,0.7929498977522473,0.7990831271018807,0.7605473186367907,0.8247700076927087,0.9358773629621748,0.98642594
