date,ffr,pa,strategy
2025-01-15,1.0000000000000002,1.1102230246251565e-12,TWAP
2025-01-16,1.0000000000000002,-4.440892098500626e-12,TWAP
2025-01-17,1.0000000000000002,-2.220446049250313e-12,TWAP
2025-01-18,1.0000000000000002,1.1102230246251565e-12,TWAP
2025-01-19,1.0000000000000002,0.0,TWAP
2025-01-20,1.0000000000000002,1.1102230246251565e-12,TWAP
2025-01-21,1.0000000000000002,0.0,TWAP
2025-01-22,1.0000000000000002,1.1102230246251565e-12,TWAP
2025-01-23,1.0000000000000002,4.440892098500626e-12,TWAP
2025-01-24,1.0000000000000002,-2.220446049250313e-12,TWAP
2025-01-25,1.0000000000000002,-2.220446049250313e-12,TWAP
2025-01-26,1.0000000000000002,1.1102230246251565e-12,TWAP
2025-01-27,1.0000000000000002,4.440892098500626e-12,TWAP
2025-01-28,1.0000000000000002,0.0,TWAP
2025-01-29,1.0000000000000002,-2.220446049250313e-12,TWAP
2025-01-30,1.0000000000000002,-2.220446049250313e-12,TWAP
2025-01-31,1.0000000000000002,-2.220446049250313e-12,TWAP
2025-02-01,1.0000000000000002,0.0,TWAP
2025-02-02,1.0000000000000002,0.0,TWAP
2025-02-03,1.0000000000000002,-2.220446049250313e-12,TWAP
2025-02-04,1.0000000000000002,0.0,TWAP
2025-02-05,1.0000000000000002,1.1102230246251565e-12,TWAP
2025-02-06,1.0000000000000002,0.0,TWAP
2025-02-07,1.0000000000000002,0.0,TWAP
2025-02-08,1.0000000000000002,-2.220446049250313e-12,TWAP
2025-02-09,1.0000000000000002,-2.220446049250313e-12,TWAP
2025-02-10,1.0000000000000002,0.0,TWAP
2025-02-11,1.0000000000000002,0.0,TWAP
2025-02-12,1.0000000000000002,-2.220446049250313e-12,TWAP
2025-02-13,1.0000000000000002,0.0,TWAP
2025-02-14,1.0000000000000002,-2.220446049250313e-12,TWAP
2025-01-15,0.9600000000000003,12.722955171415862,SBB-EMA
2025-01-16,0.9614285714285715,6.737389204181099,SBB-EMA
2025-01-17,0.9600000000000003,4.42268506502308,SBB-EMA
2025-01-18,0.9622222222222221,-13.719242914798091,SBB-EMA
2025-01-19,0.9600000000000003,-12.125657939801027,SBB-EMA
2025-01-20,1.0000000000000002,-3.362698838453859,SBB-EMA
2025-01-21,0.9629629629629629,12.79461814535976,SBB-EMA
2025-01-22,1.0,-7.425452684992617,SBB-EMA
2025-01-23,0.9629629629629629,-4.795279919211914,SBB-EMA
2025-01-24,0.9600000000000003,5.018229266168239,SBB-EMA
2025-01-25,0.9666666666666668,-5.811400976991621,SBB-EMA
2025-01-26,0.9600000000000003,-8.427756880060588,SBB-EMA
2025-01-27,1.0,-0.8304345365228727,SBB-EMA
2025-01-28,1.0000000000000002,2.815757662403273,SBB-EMA
2025-01-29,0.96218487394958,-2.892377172256655,SBB-EMA
2025-01-30,0.9600000000000003,-0.40233876966722093,SBB-EMA
2025-01-31,1.0,-7.5998812433630825,SBB-EMA
2025-02-01,1.0,1.6475827178630276,SBB-EMA
2025-02-02,1.0,8.748108529181842,SBB-EMA
2025-02-03,0.9629629629629629,19.130597623218115,SBB-EMA
2025-02-04,1.0,10.253309803931465,SBB-EMA
2025-02-05,1.0,-2.1334440777898145,SBB-EMA
2025-02-06,1.0,7.0710067559720535,SBB-EMA
2025-02-07,1.0,-10.771186846108005,SBB-EMA
2025-02-08,1.0,-2.522526618276011,SBB-EMA
2025-02-09,1.0,3.6413512474231524,SBB-EMA
2025-02-10,0.9605263157894736,5.94358481537105,SBB-EMA
2025-02-11,1.0,-3.7221337413773092,SBB-EMA
2025-02-12,0.9642857142857144,8.445330436220866,SBB-EMA
2025-02-13,1.0000000000000002,-2.6741587009304624,SBB-EMA
2025-02-14,0.9600000000000003,6.823125935548902,SBB-EMA
